route_no,originating_point,terminating_point,stoppages
AC-12D,New Town,Sapoorji,"['(Sapoorji)', 'AJOYNAGAR', 'AVE', 'Ajay', 'Ajoynagar', 'B.B.D', 'BAG', 'BBD', 'BEHALA', 'BELIAGHATA', 'BRIDGE', 'Bag', 'Bagan', 'Baruipur', 'Bazar', 'Bridge', 'Byepass', 'CENTRAL', 'CHINGRIHATA', 'CON', 'Central', 'Chingrihata', 'City', 'College', 'Dhalai', 'EAST', 'ELGIN', 'ESPLANADE', 'Eco', 'Esplanade', 'Exide', 'GARIA', 'Gate', 'HAZRA', 'HOWRAH', 'Harinavi', 'Hospital', 'Howrah Station', 'Joka', 'KBKC', 'KUTHI', 'Kamalgazi', 'Karunamoyee', 'MISSION', 'MOMINPUR', 'Malancha', 'Metropolitan', 'Mission', 'More', 'NAKTALA', 'Nagar', 'Narkel', 'New', 'New Town', 'Newtown', 'PARK', 'PHARI', 'PTS', 'Padmapukur', 'Park', 'Patuli', 'Peerless', 'RABINDRA', 'RANI', 'RASHBEHARI', 'REGENT', 'ROW', 'RUBY', 'Ruby', 'SADAN', 'SDF', 'STN', 'Sapoorji', 'Setu', 'Shibanipit', 'Space', 'Sukanta', 'THAKURPUKUR', 'TOLLYGUNJ', 'Tollygunge', 'Topsia', 'Town', 'XING', 'ZOO']"
AC-14,Baruipur,Salt Lake,"['(Salt', 'Baruipur', 'Lake)', 'New', 'Salt Lake', 'Terminus']"
AC-20,Santragachi,Barrackpore,"['BT Road', 'Barrackpore', 'CR Avenue', 'Dunlop', 'Esplanade', 'PTS', 'Santragachi', 'Shyambazar', 'Sodpur', 'Titagarh']"
AC-23A,Salt Lake,Rajchandrapur,"['Depot', 'Gate', 'Lake', 'Rajchandrapur', 'Salt', 'Salt Lake']"
AC-24A,Kamalgazi,Howrah Station,"['2==', '==End', 'Airport', 'Ajay', 'Aliah', 'Avenue', 'BBD', 'Bag', 'Ballyhalt', 'Belghoria', 'Bridge', 'Centre', 'City', 'College', 'Crossing', 'Daber', 'Dakshineswar', 'Dhalai', 'Dunlop', 'ECO', 'EXIDE', 'East', 'Eco', 'Esplanade', 'Exp', 'GARIAHAT', 'Gariahat', 'Gate', 'HAZRA', 'Haldiram', 'Hazra', 'Hospital', 'Howrah Station', 'Kalikapur', 'Kamalgazi', 'More', 'Nagar', 'New', 'OCR', 'PARK', 'PTS', 'Park', 'Patuli', 'Peerless', 'RUBY', 'Rabindrasadan', 'Rashbehari', 'Road', 'Route', 'Ruby', 'STREET', 'Shyambazar', 'Sodpur', 'Space', 'Station', 'Street', 'Titagarh', 'Town', 'Unitech', 'University', 'Via:', 'Way', 'for', 'page']"
AC-31,Howrah Station,Howrah Station,"['(Jaya', 'Avn', 'C.R', 'Cinema)', 'Crossing', 'Girish', 'HUDCO', 'Howrah Station', 'Kankurgachi', 'Lake', 'MG Road', 'Manicktala', 'Park', 'Sapoorji', 'Station', 'Terminating', 'Town', 'Ultadanga']"
AC-37,Behala,Garia,"['Barasat', 'Behala', 'Chowrastha', 'Garia', 'Jadavpur']"
AC-37A,Garia,Air Port,"['AIRPORT', 'Air', 'Air Port', 'Airport', 'Akhankha', 'Ashram', 'BAZAR', 'Bagan', 'Barrabazar', 'Bazar', 'Beliaghata', 'Bus', 'C.C', 'CHINAR', 'CHINGRIGHATA', 'Chiner', 'Chingrihata', 'Chowrasta', 'City', 'College', 'Crossing', 'Doltala', 'ECO', 'Eco', 'GARIA', 'GATE', 'Gardens', 'Garia', 'Gate', 'Gupta', 'HOME', 'HUDCO', 'Hospital', 'Hridaypur', 'James', 'Jatragachi', 'KALIKAPUR', 'Kadapara', 'Karunamoyee', 'Lake', 'MORE', 'Madhyamgram', 'More', 'Motilal', 'NABADIGANTA', 'NARKELBAGAN', 'NEW', 'NICCO', 'NO.1', 'Nager', 'Narkel', 'New', 'PARK', 'PATULI', 'PEERLESS', 'Park', 'Patuli', 'Port', 'RUBY', 'Ramkrishna', 'Road', 'Rubi', 'SASTHYABHAVAN', 'SDF', 'Sarani', 'Science', 'Science City', 'Siriti', 'TECHNOPOLIS', 'TOWN', 'Terminus', 'Town', 'Unitech', 'V.I.P.Road', 'VIP', 'long']"
AC-40,Howrah Station,Howrah Maidan,"['Airport', 'Bazar', 'Crossing', 'Gate', 'Girish', 'Howrah Maidan', 'Howrah Station', 'Jessor', 'Laketown', 'M.G', 'Maidan', 'Nager', 'Park', 'Patipukur', 'Road', 'Shyambazar']"
AC-43,Golf Green,Howrah Station,"['AIRPORT', 'Air', 'BAGAN', 'BHAVAN', 'BYEPASS', 'Burrabazar', 'C.C.2', 'CHINGRIHATA', 'CITY', 'COLLEGE', 'GARDENS', 'GATE', 'GOLF', 'GREEN', 'Golf', 'Golf Green', 'Green', 'HOME', 'Howrah Station', 'JADAVPUR', 'KALIKAPUR', 'LAKE', 'MORE', 'NARKEL', 'NEW', 'NICCO', 'NO.1', 'NO.3', 'P.S', 'PORT', 'Port', 'RUBY', 'SALIMPUR', 'SAPUIPARA', 'SWASTHA', 'Stn', 'TECHONOPOLIS', 'TOWN', 'ΚΑΙΚHALI']"
