route_no,originating_point,terminating_point,stoppages
S-9A,Karunamoyee,Jadavpur,"['5==', '==End', 'Ave', 'BBD', 'Bag', 'Ballygunge', 'ByPass', 'C.R.Ave', 'Central', 'Chiriamore', 'City', 'Colutala', 'Connector', 'Deshapriya', 'Dunlop', 'Esplanade', 'Est', 'Gariahat', 'Grey', 'Hazra', 'Hospital', 'Hou', 'Jadavpur', 'KBKC', 'Karunamoyee', 'MG Road', 'Metro', 'More', 'Nagar', 'OCR', 'Park', 'Rashbehari', 'Route', 'Ruby', 'Santoshpur', 'Setu', 'Shyambazar', 'Since', 'Sinthi', 'Stn', 'Sukanta', 'Tobin', 'VIP', 'Vivekananda', 'for', 'page', 'politon', 'street']"
S-9C,Kamalgazi,Eco Space,"['Ajoy', 'Bagan', 'Bazar', 'Bhawan', 'Centre', 'Chingrighata', 'City', 'College', 'Crossing', 'DLF', 'Eco', 'Eco Space', 'Home', 'Hospital', 'Kalikapur', 'Kamalgazi', 'Medical', 'Metropolitan', 'More', 'NICCO', 'Nagar', 'Narkel', 'New', 'Park', 'Patuli', 'Peerless', 'Philips', 'Ruby', 'SDF', 'Science', 'Space', 'Swastha', 'Tata', 'Technopolis', 'Terminating', 'Town', 'V.I.P']"
S-10,Nabanna,Dum Dum,"['Airport', 'Bazar', 'Central', 'Chiria', 'Colutala', 'Crossing', 'Dum', 'Dum Dum', 'Esplanade', 'Ganguly', 'Grey', 'Jail', 'MG Road', 'Mayo', 'More', 'Nabanna', 'Nager', 'PTS', 'Paikpara', 'Plaza', 'Shyam', 'Stn', 'Street', 'Toll', 'Vivekananda', 'gate']"
S-10A,Ballygunge,Howrah Station,"['BBD Bag', 'Ballygunge', 'Ballygunge Stn', 'Deshapriya Park', 'Elgin', 'Esplanade', 'Gariahat', 'Hazra', 'Howrah Bridge', 'Howrah Station', 'Park Street', 'RB Avenue']"
S-11,Neilgunj,Esplanade,"['Avenue', 'BBD', 'BKP', 'Bag', 'Ballygunge', 'Bridge', 'Chiriamore', 'Depot', 'Deshapriya', 'Dunlop', 'East', 'Elgin', 'Esplanade', 'Ganguly', 'Gariahat', 'Gray', 'Hazra', 'Howrah Station', 'Kalutala', 'Khardha', 'Lalkuthi', 'Mohanpur', 'Neilgunj', 'Nilgunge', 'P.S', 'Panihati', 'Park', 'Park Street', 'Rathtala', 'Shyambazar', 'SinthiMore', 'Stn', 'Talpukur', 'Titagarh', 'Vivekananda']"
S-12,New Town,Howrah Station,"['BBD', 'Bag', 'Bazar', 'Bridge', 'Chinrighata', 'EMBypass', 'East', 'Esplanade', 'Gate', 'House', 'Howrah Station', 'Moulali', 'New', 'New Town', 'Nicco', 'Park', 'Ranirashmoni', 'S.Mullick', 'SLD', 'Sealdha', 'Stn', 'Town', 'Weble']"
S-12D,Thakurpukur,Howrah Station,"['Ave', 'BBd', 'Bag', 'Bazar', 'Bridge', 'Bus', 'Casurina', 'Chowrasta', 'East', 'Esplanade', 'Howrah Station', 'Khiddirpor', 'Menton', 'Silpara', 'Stand', 'Stn', 'Thakurpukur']"
S-12E,Howrah Station,Howrah Station,"['Aliah', 'BBD', 'Bag', 'Bazar', 'Beliaghata', 'Bhavan', 'Bhawa', 'Bridge', 'Cannel', 'Crossing', 'Eco', 'Esplanade', 'Hiland', 'Howrah Station', 'India', 'K.B.K.C', 'Malanch', 'Mallick', 'More', 'Moulali', 'Narkelbagan', 'New', 'Panchayat', 'Paribesh', 'Park', 'Picnic', 'Rashmoni', 'Sealdah', 'Space', 'Square', 'Station', 'Subodh', 'Tank', 'Techno', 'Technopolish', 'Town', 'University', 'Willow']"
S-14,Garia,Karunamoyee,"['Ajoy', 'Andrews', 'Bazar', 'Bldg', 'Central', 'City', 'College', 'Dinobandhu', 'Garia', 'KBKC', 'Kaikhali', 'Karunamoyee', 'Metropolitan', 'More', 'Nagar', 'Park', 'Patuli', 'Peerless', 'Ruby', 'VIP']"
S-16,Thakurpukur,Salt Lake,"['Bazar', 'Behala', 'Bus', 'Chowrsta', 'Depot', 'Esplanade', 'Gate', 'Khiddirpor', 'Lake', 'Menton', 'Mominpore', 'More', 'Mullick', 'Salt', 'Salt Lake', 'Silpara', 'Square', 'Stand', 'Subodh', 'Taratala', 'Thakurpukur', 'Tram', 'Water']"
S-21,Garia,Baghbazar,"['Ajoynagar', 'Alambazar', 'Ariadaha', 'B.B.D.Bag', 'B.B.Ganguly', 'Bag', 'Bagbazar', 'Baghajatin', 'Baghbazar', 'Baisaki', 'Baranagar', 'Bazar', 'Bhavan', 'Bibir', 'Bonhooghly', 'C.A.Island', 'Chandi', 'Colutala', 'Cossipur', 'Dakshineswar', 'Depot', 'Elgin', 'Esplanade', 'Garia', 'Ghosh', 'HUDCO', 'Hazra', 'Hospital', 'Hudco', 'Kalikapur', 'Kankurgachi', 'Karunamoyee', 'Khanna', 'Kudghat', 'Labony', 'MG Road', 'Manicktala', 'Moulali', 'P.S', 'PNB', 'Park Street', 'Patuli', 'Pearless', 'Phari', 'R.B.Ave', 'Rajabazar', 'Ruby', 'Sealdha', 'Seva', 'Shyambazar', 'Sovabazar', 'Tollygunge', 'Tram', 'bypass']"
S-23A,Sakuntala Park,Sakuntala Park,"['Airport', 'Alipore', 'Bagan', 'Bakultala', 'Balihalt', 'Balikhal', 'Behala', 'Center', 'Central', 'Chetla', 'Chinar', 'Chingrighata', 'Chowrasta', 'City', 'College', 'Crossing', 'Dakshineswar', 'Dunlop', 'Durganagar', 'Eco', 'Gariahat', 'Gate', 'Karunamoyee', 'Kasba', 'Manton', 'More', 'Nabadiganta', 'Nagar', 'Narkel', 'New', 'Nicco', 'Nimtala', 'Nutan', 'P.S', 'Para', 'Park', 'R.B.Ave', 'Raidighi', 'Rajchandrapur', 'Rubi', 'SDF', 'SLD', 'Sakuntala', 'Sakuntala Park', 'Science', 'Sreenagar', 'Stand', 'Sukanta', 'Taratala', 'Technopolis', 'Town', 'WIPRO']"
S-24,Kamalgazi,Howrah Station,"['Ajoynagar', 'Arabinda Pally', 'BBD Bag', 'Burra Bazar', 'EM Byepass', 'Esplanade', 'Howrah Station', 'Kalikapur', 'Kamalgazi', 'Lohapoll', 'Middle Rd', 'Moulali', 'Panchanan Gram', 'Patuli', 'Peerless Hospital', 'Ruby', 'S.N.Banarjee Rd', 'Topsia Rd Xing']"
S-30,Ultadanga,Eco Space,"['(IT', 'Eco', 'Eco Space', 'Space', 'Spl.)', 'Ultadanga']"
S-30A,Ultadanga,Salt Lake,"['Circuitous', 'Lake', 'Salt', 'Salt Lake', 'Service', 'Ultadanga']"
S-31,Jadavpur,Janakalyan,"['6==', '==End', 'Ajoynagar', 'Arabinda', 'Ashram', 'BBD', 'Bag', 'Bagan', 'Bazar', 'Bhavan', 'Bhawan', 'Burra', 'Bus', 'Byepass', 'C.A', 'C.G.O', 'Camp', 'Centre', 'Chingrighata', 'Chowrastha', 'City', 'College', 'Complex', 'Crossing', 'D.P.Sasmal', 'Eco', 'Esplanade', 'Falguni', 'G.D', 'Gardens', 'Gate', 'Gram', 'Gupta', 'HUDCO', 'Hidco', 'Hospital', 'Howrah Station', 'Island', 'Jadavpur', 'James', 'Janakalyan', 'Kadapara', 'Kalikapur', 'Kanunamoyee', 'Karunamoyee', 'Lake', 'Lock', 'Lohapoll', 'Long', 'Medical', 'Middle', 'Mission', 'More', 'Motilal', 'Moulali', 'NICCO', 'Nabanna', 'Narkel', 'New', 'Nicco', 'No.Bus', 'OCR', 'P.T.S', 'PNB', 'Pally', 'Panchanan', 'Park', 'Patuli', 'Peerless', 'Philips', 'Police', 'Purta', 'R.S', 'Rabindra', 'Ramkrishna', 'Route', 'Ruby', 'S.N.Banarjee', 'SDFCollege', 'SDG', 'Sadan', 'Sarani', 'Siriti', 'Software', 'Space', 'Stand', 'Stn', 'Tank', 'Tata', 'Technopolis', 'Techonopolis', 'Topsia', 'Town', 'Ultadanga', 'Unnayan', 'Vidyasagar', 'WIPRO', 'bus', 'for', 'page']"
S-32,Barrackpore,Howrah Station,"['Bakrakpur', 'Bally', 'Barakpur', 'Barrackpore', 'Bazar', 'Belur', 'Bridge', 'Chiria', 'Chiriamore', 'Chowrastha', 'College', 'Court', 'Dakshineswar', 'Dunlop', 'Grey', 'Howrah Station', 'Kamarhati', 'Khardha', 'Liluah', 'Maidan', 'Manument', 'Math', 'More', 'Municipality', 'P.S', 'Panihati', 'Ranindra', 'Rathtala', 'Salkia', 'Sarani', 'Shyambazar', 'Sinthi', 'Station', 'Stn', 'Sukchar', 'Talpukur', 'Titagarh', 'Tobin', 'Vivekananda']"
